osnma.osnma_core.receiver_state     | INFO     | Start status COLD_START

osnma.osnma_core.receiver_state     | INFO     | Public Key ID 1 read. Start status WARM_START

osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 02 ---
osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 15 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 25 ---
osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 30 ---
osnma.receiver.receiver             | INFO     | No OSNMA data.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 34 ---
osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 36 ---
osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 09 ---
osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 02 ---
osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 34 ---
osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1332 TOW 291660 SVID 36 ---
